,artist,title,mood,lyrics,genre
1494,Leonard Cohen,Teachers,sad,"I met a woman long ago
Her hair the black that black can go
Are you a teacher of the heart?
Soft she answered no

I met a girl across the sea
Her hair the gold that gold can be
Are you a teacher of the heart?
Yes, but not for thee

I met a man who lost his mind
In some lost place I had to find
Follow me the wise man said
But he walked behind

I walked into a hospital
Where none was sick and none was well
When at night the nurses left
I could not walk at all

Morning came and then came noon
Dinner time a scalpel blade
Lay beside my silver spoon
Some girls wander by mistake
Into the mess that scalpels make
Are you the teachers of my heart?
We teach old hearts to break
One morning I woke up alone
The hospital and the nurses gone
Have I carved enough my Lord?
Child, you are a bone

I ate and ate and ate
No, I did not miss a plate, well
How much do these suppers cost?
We'll take it out in hate

I spent my hatred everyplace
On every work on every face
Someone gave me wishes
And I wished for an embrace

Several girls embraced me, then
I was embraced by men
Is my passion perfect?
No, do it once again

I was handsome, I was strong
I knew the words of every song
Did my singing please you?
No, the words you sang were wrong

Who is it whom I address?
Who takes down what I confess?
Are you the teachers of my heart?
We teach old hearts to rest
Oh teachers, are my lessons done?
I cannot do another one
They laughed and laughed and said, Well child
Are your lessons done?
Are your lessons done?
Are your lessons done?4EmbedShare URLCopyEmbedCopy",folk/acoustic
1495,Tim Buckley,No Man Can Find The War,sad,"Photographs of guns and flame
Scarlet skull and distant game
Bayonet and jungle grin
Nightmares dreamed by bleeding men
Lookouts tremble on the shore
But no man can find the war

Tape recorders echo scream
Orders fly like bullet stream
Drums and cannons laugh aloud
Whistles come from ashen shroud
Leaders damn the world and roar
But no man can find the war

Is the war across the sea?
Is the war behind the sky?
Have you each and all gone blind:
Is the war inside your mind?

Humans weep at human death
All the talkers lose their breath
Movies paint a chaos tale
Singers see and poets wail
All the world knows the score
But no man can find the warEmbedShare URLCopyEmbedCopy",rock
1496,Harry Belafonte,Jump in the Line,happy,"Shake, shake, shake, Senora, shake your body line
Shake, shake, shake, Senora, shake it all the time
Work, work, work, Senora, work your body line
Work, work, work, Senora, work it all the time

My girl's name is Senora
I tell you friends, I adore her
And when she dances, oh brother!
She's a hurricane in all kinds of weather

(Jump in the line, rock your body in time) OK, I believe you!
(Jump in the line, rock your body in time) OK, I believe you!
(Jump in the line, rock your body in time) OK, I believe you!
(Jump in the line, rock your body in time) Whoa!

Shake, shake, shake, Senora, shake your body line, whoa!
Shake, shake, shake, Senora, shake it all the time
Work, work, work, Senora, work your body line
Work, work, work, Senora, work it all the time

You can talk about Cha Cha
Tango, Waltz, or the Rumba
Senora's dance has no title
You jump in the saddle
Hold on to de bridle
(Jump in the line, rock your body in time) OK, I believe you!
(Jump in the line, rock your body in time) Rock your body, child!
(Jump in the line, rock your body in time) Somebody, help me!
(Jump in the line, rock your body in time) Whoa!

Shake, shake, shake, Senora, shake your body line
Shake, shake, shake, Senora, shake it all the time (Whoa)
Work, work, work, Senora, work your body line (Yep)
Work, work, work, Senora, work it all the time

Senora, she's a sensation
The reason for aviation
And fellas, you got to watch it
When she wind up, she bottom, she go like a rocket

(Jump in the line, rock your body in time) OK, I believe you!
(Jump in the line, rock your body in time) Hoist those skirts a little higher!
(Jump in the line, rock your body in time) Up the chimney!
(Jump in the line, rock your body in time) Whooooa!

Shake, shake, shake, Senora
Shake your body line
Work, work, work, Senora
Work it all the time
Dance, dance, dance, Senora
Dance it all the time
Work, work, work, Senora
Work it all the time
Senora dances Calypso
Left to right is the tempo
And when she gets the sensation
She go up in the air, come down in slow motion

(Jump in the line, rock your body in time) OK, I believe you!
(Jump in the line, rock your body in time) Somebody, help me!
(Jump in the line, rock your body in time) OK, I believe you!
(Jump in the line, rock your body in time) Whooooa!

Shake, shake, shake, Senora, shake your body line
Shake, shake, shake, Senora, shake it all the time
Work, work, work, Senora!3EmbedShare URLCopyEmbedCopy",easy listening
1497,Bad Company,Bad Company,sad,"[Intro]
Mmm

[Verse 1]
Company, always on the run
Destiny, mmm, is a rising sun
Oh, I was born six-gun in my hand
Behind a gun, I make my final stand, hey
It's why they call me

[Chorus]
Bad company and I can't deny
Bad company 'til the day I die
Oh, 'til the day I die
'Til the day I die

[Verse 2]
Rebel souls, deserters we are called
Chose a gun and threw away the song
Now these towns, they all know our name
Six-gun sound is our claim to fame
I can hear them say

[Chorus]
Bad company and I won't deny
Bad, bad company 'til the day I die
Ha, ha, oh yeah
'Til the day I die, ooh
Oh
[Solo]

[Chorus]
Hey, hey, hey
Bad company, I can't deny
Bad company 'til the day I die
What'd I say now?
Is bad company
Oh yeah, yeah, yeah, yeah
Bad company 'til the day I die
Whoa yes

[Outro]
Said I'm young and I'm free
Oh, but I'm-a bad company
That's the way I play, yeah
Dirty for dirty, heh
Oh, somebody double-cross me
Double-cross for double-cross
Yeah, we're bad company
Oh, the cold wind blowing, ah
Mmm yeah7EmbedShare URLCopyEmbedCopy",rock
1498,Jamie Lidell,Multiply,happy,"Well sure it never used to be
So hard
This hard
Used to get those kicks for free
But now I'm toeing the line

This ain't no way to be
Stuck between my shadow and me
Put it where the sun don't shine
Although I'll tell you that I'm doing fine

I'm so tired of repeatin' myself
Beatin' myself up
Gonna take a trip and multiply
Wanna 'least go under with a smile

I'm so tired of repeatin' myself
Beatin' myself up
Gonna take a trip and multiply
Wanna 'least go under with a smile

Sure never used to be
In trouble
So much trouble
Love is just a shackle I see
Goin' out of my mind
This ain't no way to be
Stuck between my shadow and me
The sun's going down
It's getting dark in here
Still folks see
I got nothing to fear

I'm so tired of repeatin' myself
Beatin' myself up
Gonna take a trip and multiply
Wanna 'least go under with a smile

I'm so tired of repeatin' myself
Beatin' myself up
Gonna take a trip and multiply
Wanna 'least go under with a smile

People on the street
There are many many
People on the moon
There ain't any any
Shame... yeah ...ooh
Runnin' down the same old cold
Takin' it down 'cause I got no control

I'm so tired…
Soooooo
I'm so tired of repeatin' myself
Beatin' myself up
Wanna take a trip and multiply
Wanna 'least go under with a smile

I'm so tired of repeatin' myself
Beatin' myself up
Wanna take a trip and multiply
Wanna 'least go under with a smileEmbedShare URLCopyEmbedCopy",r&b
1499,Cat Power,Cross Bones Style,angry,"Oh, how time flies
With crystal clear eyes
And cold as coal
When you're ending with diamond eyes

Oh, come child
In a cross bones style
Oh, come child
Come and rescue me
Cause you have seen some unbelievable things

Hater, I have your diamonds
And still

Cause you have seen some unbelievable things
Hater, I have your diamonds

Oh, come child
In a cross bones style
Oh, come child
Come and rescue me
Cause you have seen some unbelievable things

Hater, I have your diamonds
And still, so still
Oh, how time flies
With crystal clear eyes
And cold as coal
When you're ending with diamond eyes

Oh, come child
In a cross bones style
Oh, come child
Come and rescue me
Cause you have seen some unbelievable thingsEmbedShare URLCopyEmbedCopy",pop
1500,Slayer,Darkness of Christ,angry,"[Intro]
Mankind, in his insatiable search for divine knowledge
Has discarded all Biblical teachings
Realizing that the strength of religion
Is the repression of knowledge
All structures of religion have collapsed
Life prays for death
In the wake of the horror of these revelations
It was never imagined how graphic the reality
That would be known as the end of creation
Would manifest itself
We believe all this chaos and atrocity can be traced
Back to one single event

[Outro]
We hold these truths to be painfully self-evident
All men are not created equal
Only the strong will prosper
Only the strong will conquer
Only in the darkness of Christ have I realized
God hates us all
God hates us allEmbedShare URLCopyEmbedCopy",metal
1501,Papa Roach,Dead Cell,angry,"[Chorus]
Born with no soul, lack of control
Cut from the mold of the anti-social
Plug them in and turn 'em on
Process the data, make yourself the bomb

[Verse 1]
What is your target?
What is your reason?
Do you have emotions, is your heart freezing?
Seizing this opportunity to speak
You didn't say nothin but ""turn your fucking cheek""

Dead Cell!
Dead Cell!

[Verse 2]
Sick in the head, livin' but dead, hear what I said
Learn a lesson from the almighty dread
Jah, mighty warrior, nothing's scarier
Kids are getting sick like malaria
Situation gets hairier, I'm throwing up all types of barriers, I'm telling ya
The kids are getting singled out
Let me hear the dead cells shout

Dead Cell!
Dead Cell!
[Chorus]
Born with no soul, lack of control
Cut from the mold of the anti-social
Plug 'em in and turn 'em on
Process the data, make yourself the bomb
No soul, no control
Cut from the mold of the anti-social
Plug 'em in and turn 'em on
Process the data, make yourself the bomb


[Verse 3]
Stop pointing fingers cause we all are guilty
Of clean cut lies and truth that's filthy
Believe what is the root of the word
Out comes lies when it's cut into thirds
I don't believe what my eyes behold (No!)
I don't believe what my ears are told (No!)
Seizing this opportunity to speak
I'm saying something, don't turn your fucking cheek

Dead Cell!
Dead Cell!

[Chorus]
Born with no soul, lack of control
Cut from the mold of the anti-social
Plug 'em in and turn 'em on
Process the data, make yourself the bomb
No soul, no control
Cut from the mold of the anti-social
Plug 'em in and turn 'em on
Process the data, make yourself the bomb
Dead - Cell
Dead - Cell

Dead Cell!
Dead Cell!1EmbedShare URLCopyEmbedCopy",metal
1502,The Pierces,Lights On,happy,"Oh, oh, oh
Oh, oh, oh

Some people say that I want you for your money
But I really want for your body
(Yes, no, yes)
Pleased to meet you, baby
I want to be your honey
So let's go tell your daddy and mommy
(Yes, no, yes)

This won't get any easier
Now that your heart is beating in my hand
I'll try not to destroy you, baby
Even though we both know I can
Oh, you know I can

Make love with the lights on, baby
Tell me what you see
Clear the bed to lie on, darlin'
Make a mess of me
Here's my dress to try on, baby
Let me be your man
I will call you pretty, darlin'
Tell me what I am
Oh, oh, oh
C-c-can I have your number?
Can I have your baby?
Can we run away together?
(Yes, no, yes)
I would walk on water
I would walk on fire
I would sell my soul to the devil
(Yes, no, yes)

And this won't get any easier
Now that your heart is beating in my hand
I'll try not to destroy you, baby
Even though we both know I can
Oh, you know I can

Make love with the lights on, baby
Tell me what you see
Clear the bed to lie on, darlin'
Make a mess of me
Here's my dress to try on, baby
Let me be your man
I will call you pretty, darlin'
Tell me what I am

(Yes, no, yes)
(Yes, no, yes)
(Yes, no, yes)
(Yes, no, yes)
Make love with the lights on, baby
Tell me what you see
Clear the bed to lie on, darlin'
Make a mess of me
Here's my dress to try on, baby
Let me be your man
I will call you pretty, darlin'
Tell me what I am1EmbedShare URLCopyEmbedCopy",pop
1503,Ween,Boys Club,happy,"Boys club
Yea, yea yea yea yea yea yea
Boys club
Ooh, yeah
Boys club
Mm-hm hm hm hm
Boys club
Yea
Boys club
Do it to me baby, now
Boys club
Yeah
Boys club
Said I'm talkin' 'bout boys club
Boys club

Take the time, have some fun
Go outside, make love in the sun
At boys club
Boys club
Oh now, yea yea
Boys club
Ooh now, talkin' 'bout boys club
Boys club
Can ya dig it? Boys club
Boys club
Tell your woman, tell your man
Go somewhere, they've got to understand
It's boys club
Boys club
And I'll know they'll understand
Boys club
Ooh yea, talkin' 'bout boys club
Boys club
Mm-hm, mm-hm
Boys club
C'mon Blaine
C'mon Blaine

You can talk of the future, you can talk of the past
You can go find yourself a nice piece of ass at boys club
Boys club
C'mon down to boys club
Boys club
Ooh yea, talkin' bout boys club
Boys club
Boys club
Boys club

Now I may not be gay, and I may not be proud
But it don't matter, cuz I'm always allowed at the boys club
Boys club
Yea, yea yea yea yea yea
Boys club
Ooh yea, talkin' bout boys club
Boys club
C'mon, baby
Boys club
Boys club
Boys club
Ooh yea, talkin' bout boys club
Boys club
Boys club
Do it to me baby, now
Boys club
Boys club
Boys club
Boys club
Boys club
Oh yeah, baby babe
Boys club
C'mon down to boys club
Boys club
C'mon, down to boys club
Boys club
Talkin' 'bout boys club
Yea, yea yea yea yea yea yea, ooh yeah
Boys clubEmbedShare URLCopyEmbedCopy",rock
1504,Talk Talk,I Don't Believe in You,sad,"[Verse 1]
Now the fun is over
Where do words begin
I'm trying to find the path ahead
Any way you say it
The charade goes on
But your eyes won't see it
It's the same old song

[Refrain]
I don't believe you
I don't believe you

[Verse 2]
Promises so golden
Years have proved them wrong
I'm trying to leave some self-respect
Any way you say it
Our decline goes on
But your pride won't heed it
It's the same old song

[Refrain]
I don't believe you
I don't believe you, I don't!
I don't believe in you
[Bridge]
And the way you play it
Is the way you want it
Any way you sing it
It's the same old song

[Refrain]
I don't believe you
I don't believe you
I don't believe you
I don't believe youEmbedShare URLCopyEmbedCopy",rock
1505,The Cinematic Orchestra,Burn Out,relaxed,"But when the money's gone...
They don't come around...

But when the money's gone...
They don't come around...EmbedShare URLCopyEmbedCopy",dance/electronic
1506,Dope,Pig Society,angry,"Polite to say that I drifted away
And I never thought I'd care
Along the way I've made mistakes
But I made them over there
If I told you twice I'd be
What you never thought i'd be
If I told you I survived
In your pig society

You don't know what it's like to be in me
You don't know what lies inside
And you never want to see

Locked away in a cage today
So I'm doin' what I can
Take these fuckin' chains off me
And I'll show you what I am

You don't know what it's like to be in me
You don't know what I've survived
And you never would beleive

Sick of politicians and politics and prisons
Lyin' and runnin' my life
You pathetic preacher and hypocritic leaders
Smilin' and wastin' my time, yeah
Fuck you
Fuck you
Fuck you

Survive the hate of this fuckin' place
And I'll call you when I can
Some snitch fucker died last night
Do you think I give a damn?

You don't know what it's like to be in me
You don't know what it's like inside
And you never want to see

Sick of politicians and politics and prisons
Lyin' and runnin' my life
You pathetic preacher and hypocritic leaders
Smilin'and wastin' my time
Sick of your religions and full of shit opinions
I'm tired of waiting to die
Run me in - I'll do it all again
Motherfucker I'm still aliveEmbedShare URLCopyEmbedCopy",metal
1507,Stina Nordenstam,The End of a Love Affair,sad,"The end of a love affair
A scene from a film
Just as familiar
As the love had been

I woke and couldn't sleep
Before a word was said
The gap was ocean deep
Between us in the bed

The end of a love affair
The end of a life
The end of a love affair
Still we both survive

It didn't take so long
Really just a day
And all the hope was gone
It was clear I couldn't say

Getting up is easy
Beaten up, still easy
Cutting off is easy
Tearing down is easy

The end of a love affair
The world is born again
If things doesn't look the same
It's cause they constantly change
I take your number off the phone
Now I'm on my own
The good days will come
I just need the timeEmbedShare URLCopyEmbedCopy",pop
1508,Woven Hand,Story and Pictures,sad,"Shook out my salvation
In all four corners of my room
Lowly is the dust
Trustworthy the broom

White lady
Growlin on a chain
Peacock caw the sound of my lover's name
The tone was pure and played on gut
From your birdhouse aflame

Your fire burns for me
Red as grace
The blush came easily to your face
Your fire burns for me
Red as grace
And she says that none would have her

As a boy I too drew near
To the love of dust
Toughskin blue light cowboy
Idle hands they rust

Your fire burns for me
Red as grace
The blush came easily to your face
Your fire burns for me
Red as grace
And she says that none would have her
Let us allow the character to build
Wise as serpents and harmless as doves
Let's allow the emptiness to fill
Rich mercy and brotherly love

Your fire burns for me
Red as grace
The blush came easily to your face
Your fire burns for me
Red as grace
And she says that none would have herEmbedShare URLCopyEmbedCopy",country
1509,Queens Of The Stone Age,Feel Good Hit Of The Summer,happy,"[Verse 1: Josh Homme]
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol
Oh, Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol

[Chorus: Josh Homme]
Cocaine, cocaine
Cocaine, oh
Cocaine

[Guitar Solo]

[Break]
Oh

[Verse 2: Josh Homme & Rob Halford]
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol
Oh, Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol

[Chorus: Josh Homme & Rob Halford]
Cocaine
Cocaine
Cocaine
[Outro: Josh Homme & Rob Halford, Josh Homme]
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol (Cocaine!)
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol (Cocaine!)
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol (Cocaine!)
Oh, Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol (Cocaine!)
Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol (Cocaine!)
Oh, Nicotine, Valium, Vicodin, marijuana, cocaine3EmbedShare URLCopyEmbedCopy",metal
1510,Pnau,Embrace,happy,"[Verse 1]
On a night like tonight you saved my life
Red and green wet shoes slip on refracted lights
Running faster than my legs can take me
Shouting louder than my lungs allow me

[Chorus]
Wide as the rivers run
Still got time for someone
Be my embrace now
Be my embrace now
Wide as the rivers run
Still got time for someone
Be my embrace now
Be my embrace now

[Verse 2]
Light a match, bring the flame over to your eye
Slipping past, you won't see me before you die
Breaking down our sleep, my head's still aching
This war is killing you and all around me

[Chorus]
Wide as the rivers run
Still got time for someone
Be my embrace now
Be my embrace now
Wide as the rivers run
Still got time for someone
Be my embrace now
Be my embrace now
[Bridge]
You go, go, go, go
You go, go, go, go
You go, go, go, go
You go, go, go, go

[Chorus]
Wide as the rivers run
Still got time for someone
Be my embrace now
Be my embrace now
Wide as the rivers run
Still got time for someone
Be my embrace now
Be my embrace now
Wide as the rivers run
Still got time for someone
Be my embrace now
Be my embrace now
Wide as the rivers run
Still got time for someone
Be my embrace now
Be my embrace now1EmbedShare URLCopyEmbedCopy",rock
1511,Maps,Glory Verse,relaxed,"I heard that now you're callin'
Left it all behind this mornin'
With those blocks, the ones that you see through

Like all the times before
You made sure that they saw you
But now you're gonna see this through

When you look down
You know you'll see this glory verse
What you found
You'll tend to me as glory verse

This world could get you closer
To what you need the most
You'll find this chemistry could move

These sounds will never leave you
Will be there to recieve you
These sounds, they seem to write themselves

When you look down
You know you'll see this glory verse
What you found
You'll tell to me is glory verse
Before you leave from here
Before you leave from here
Here is really just a matter of time
Before it happens, yeahEmbedShare URLCopyEmbedCopy",rock
1512,Flowing Tears,Portsall (Departure Song),sad,"We laid on the back on a latesummernight
When we ran out of words we could say
Like two stranded stars on a deepfrozen sky
So gone but afraid not to say
We counted the stars any latesummernight
And we watched their departure all day
""tomorrow we'll join 'em"" we dreamt many times
But tomorrow was so far away
And the moon, and the stars
And the summernight sky
That dirty old barn, and the grey in our eyes
The harbour, the sea, and the rivers of plight
And still we're so far away...
And still we lay on the back
Another latesummernight
So gone but afraid not to stayEmbedShare URLCopyEmbedCopy",rock
1513,Louis Armstrong,Nobody Knows The Trouble I've Seen,sad,"Nobody knows the trouble I've seen
Nobody knows but Jesus
Nobody knows the trouble I've seen Glory
Hallelujah
Sometimes I'm up, sometimes I'm down
Ohh, yes Lord
Sometimes I'm almost To the ground
Oh yes, Lord
Nobody knows the trouble I've seen
Nobody knows but Jesus
Anybody knows the trouble I've seen Glory
Hallelujah
If you got there before I do
Oh yes Lord Tell all my friends
I'm Coming too, oh yes Lord
Nobody knows the trouble
I've seen Nobody knows but Jesus
Nobody knows the trouble I've seen Glory
Hallelujah
Although you see me Goin' on so
Oh yes I have my trials
Here below Ohh yes, Lord
Oh, nobody knows the trouble I've seen Nobody knows but Jesus
Nobody knows the trouble I've seen Glory
Hallelujah Ohh, glory, HallelujahEmbedShare URLCopyEmbedCopy",easy listening
1514,Old Crow Medicine Show,Down Home Girl,happy,"[Verse 1]
Well, I swear your perfume, baby
Is made out of turnip greens
Every time I kiss you, girl
It tastes like pork and beans
Even though you're wearin' those
Uptown high heels
I can tell from your giant step
You been walkin' through the cotton fields

[Chorus]
Oh, you're so
Down home girl

[Verse 2]
Every time you monkey, child
Takes my breath away
Well every time you move like that, girl
I got to get down and pray
Girl, you know that dress you're wearin'
Is made out of fiberglass
Every time you move like that, girl
I got to go to Sunday Mass

[Chorus]
Oh, you're so
Down home girl
[Verse 3]
I'm gonna take you to the muddy river
And push you in
So I can watch the water roll
On down your velvet skin
I'm gonna take you down to New Orleans
Down in Dixieland
So I can watch you do the second line
With an umbrella in your hand

[Chorus]
Oh, you're so
Down home girl2EmbedShare URLCopyEmbedCopy",country
1515,Donald Fagen,Walk Between Raindrops,relaxed,"A shadow crossed the blue Miami sky
As we hit the causeway by the big hotels
We fought
Now I can't remember why
After all the words were said and tears were gone
We vowed we'd never say goodbye

When we kissed we could hear the sound of thunder
As we watched the regulars rush the big hotels
We kissed again as the showers swept the Florida shore
You opened your umbrella
But we walked between the raindrops back to your door
Oh Miami!

In my dreams I can hear the sound of thunder
I can see the causeway by the big hotels
That happy day we'll find each other on that Florida shore
You'll open your umbrella
And we'll walk between the raindrops back to your door
We'll walk between the raindrops
Between the raindrops
Walk between the raindrops back to your doorEmbedShare URLCopyEmbedCopy",rock
1516,Al Martino,VOLARE,happy,"Sometimes the world is a valley of heartaches and tears
And in the hustle and bustle, no sunshine appears
But you and I have our love always there to remind us
There is a way we can leave all the shadows behind us

Volare, oho
Cantare, ohohoho
Let's fly way up to the clouds
Away from the maddening crowds

We can sing in the glow of a star that I know of
Where lovers enjoy peace of mind
Let us leave the confusion and all disillusion behind
Just like birds of a feather, a rainbow together we'll find

Volare, oho
Cantare, ohohoho
No wonder my happy heart sings
Your love has given me wings

Volare, oho
Cantare, ohohoho
Nel blu, dipinto di blu
Felice di stare lass tu

E volavo, volavo felice pi in alto
Del sole ed ancora pi su
Mentre il mondo pian piano spariva lontano laggiu
Una musica dolce suonava soltanto per me
Volare, oho
Cantare, ohohoho
Let's fly way up to the clouds
Away from the maddening crowds

We can sing in the glow of a star that I know of
Where lovers enjoy peace of mind
Let us leave the confusion and all disillusion behind
Just like birds of a feather, a rainbow together we'll find

Volare, oho
Cantare, ohohoho
No wonder my happy heart sings
Your love has given me wings

Volare, oho
Cantare, ohohoho
Nel blu, dipinto di blu
Felice di stare lass tu

E volavo, volavo felice pi in alto
Del sole ed ancora pi su
Mentre il mondo pian piano spariva lontano laggiu
Una musica dolce suonava soltanto per me

Volare, oho
Cantare, ohohoho
No wonder my happy heart sings
Your love has given me wings
Nel blu, dipinto di blu
Felice di stare lass tu

No wonder my happy heart sings
Your love has given me wingsEmbedShare URLCopyEmbedCopy",easy listening
1517,Pat Boone,Speedy Gonzales,happy,"It was a moonlit night in Old Mexico
I walked alone between some old adobe haciendas
Suddenly, I heard the plaintive cry of a young Mexican girl:

La la la, la la la la la la la la, la la la la la la la la, la la la la
La la la la

You better come home Speedy Gonzales
Away from tannery row
Stop all of your drinking
With that floozy named Flo!
Come on home to your adobe
And slap some mud on the wall!
The roof is leaking like a strainer
There's loads of roaches in the
Hall
(La la la la)

Speedy Gonzales (Speedy Gonzales)
Why don't you come home?
Speedy Gonzales (Speedy Gonzales)
How come you leave me all alone?

""He, Rosita, I have to go shopping downtown for my mother
She needs some Tortillias and Chilli Pepper!""
La, la la la la la la la la, la la la la la la la la, la la la la la la
La la

Your doggie's gonna have a puppy
And we're running out of Coke
No enchiladas in the icebox
And the television's broke
I saw some lipstick on your sweatshirt
I smell some perfume in your ear
Well, if you're gonna keep on messin'
Don't bring your business back a-here
(La la la la)

Mmm, Speedy Gonzales (Speedy Gonzales)
Why don't you come home?
Speedy Gonzales (Speedy Gonzales)
How come you leave me all alone?

""He, Rosita, come quick!
Down at the cantina
They're giving green stamps with Tequila!""
La, la la la la la la la la, la la la la la la la la, la la la la la la
La la
La la la la, la la la la la la la la, la la la la la la la la, la la la
La la la la la
SPOKEN: It was a moonlit night in old Mexico....1EmbedShare URLCopyEmbedCopy",easy listening
1518,Inner City,Big Fun,happy,"We don't really need a crowd to have a party
Just a funky beat, and you to get it started and oh
We'll dance the night away

We're having big fun
The party's just begun, yeah
We're having big fun
Big fun

It won't take a lot of thought for you to do it
You just feel the groove, and baby then you move it and oh
Oh, dance the night away

We're having big fun
The party's just begun yeah, yeah yeah yeah
We're having big fun
Big fun

I think you're ready, ready, ready
Now it's time to join the party, baby
Let's get down into the groove
It could make your body move
Oh, oh, tonight

We're having big fun
The party's just begun yeah, yeah yeah yeah
We're having big fun
Big fun
We're having big fun
We're having big fun
The party's just begun, yeah
We're having big fun
Big fun

We're having big fun
The party's just begun, yeah
We're having big fun
We're having big fun...1EmbedShare URLCopyEmbedCopy",dance/electronic
1519,Black Sabbath,The Writ,angry,"[Verse 1]
The way I feel is the way I am
I wish I'd walked before I started to run to you
Just to you
What kind of people do you think we are?
Another joker who's a rock and roll star for you
Just for you
The faithful image of another man
The endless ocean of emotion I swam for you
Yeah, for you
The shock troopers laying down on the floor
I wish they’d fallen into my private war with you
Yeah, with you
Are you metal, are you man?
You've changed a lot since you began
Yeah, began
Ladies digging gold from you
Will they still dig now you're through?
Yeah, you're through

[Verse 2]
You bought and sold me with your lying words
The voices in the dark that you never heard came through
Yeah, came through
Your fallen phallic god dismembered and gone
A poisoned father with his poisonous son, that's you
Yeah, that's you
I beg you, please don't let it get any worse
The anger I once had has turned to a curse on you
Yeah, curse you
All of the promises that never came true
You're gonna get what is coming to you, that's true
Ah, that's true
Are you Satan, are you man?
You've changed a lot since it began
It began
Vultures sucking gold from you
Will they still suck now you're through?
[Bridge]
(Cats, rats)
The search is on, so you just better run
And find yourself another way
Rob the dead, they don't feel a thing
Leave the living for another day
(Rats, rat)
You are a nonentity, you have no destiny
You are a figment of a thing unknown
A mantle picture of a stolen soul
A fornication of your golden throne

[Chorus]
A smiling face, it means the world to me
So tired of sadness and of misery, yeah!

[Interlude]
My life, it started some time ago
Where it will end, I don't know
I thought I was so good
I thought I was smart
I feel my world being torn apart

[Chorus]
But everything is gonna work out fine
If it don't, I think I'll lose my mind, yeah!
[Interlude]
I know, I know
I know, yeah, yeah, I know
Listen to me while I sing this song
You might just think the words are wrong
Too many people advising me
But they don't know what my eyes see

[Chorus]
But everything is gonna work out fine, yeah
If it don't, I feel I'll blow my mind, yeah!

[Instrumental Outro]2EmbedShare URLCopyEmbedCopy",rock
1520,Groove Armada,But I Feel Good,happy,"But I Feel Good
But I Feel High
[X 6]

Deeper down than this y'all
Deeper down
[X 4]

Yeah I was just following a Friday
Trying to get home find a phone
Geezer lighter the futures brighter
Trying to hit a saturday nighter

Yeah I was just following a Friday
I found a driver here's a fiver
I'll have to lend you excuse me is this the venue

Yeah I was just following a Friday
I was just going with the... uh

But I Feel Good
But I Feel High
[X 4]

Deeper down than this y'all
Deeper down
[X 4]
Yeah I was just following a Friday
Trying to get home find a phone
Geezer lighter the futures brighter
Trying to hit a saturday nighter

Yeah I was just following a Friday
I found a driver here's a fiver
I'll have to lend you excuse me is this the venue

Yeah I was just following a Friday
I was just going with the... uh

But I Feel Good
But I Feel High
[X 4]

Excuse me is this the venue

But I Feel Good
But I Feel High
[X 4]EmbedShare URLCopyEmbedCopy",dance/electronic
1521,Billy Talent,Pins and Needles,sad,"[Verse 1]
Never understood how she could
Mean so little to so many
Why does she mean everything to me?

[Chorus]
Is it worth the pain?
With no one to blame
For all of my insecurities?
How did I ever let you go?

[Verse 2]
Questioning her good intention
Jealousy’s a bad invention
When you push on glass, it’s bound to break

Even when she was defensive
It just gave me more incentive
The more you squeeze, the more it slips away

[Chorus]
I never walked so far on a lonely street
With no one there for me
Is it worth the pain?
With no one to blame
For all of my insecurities?
How did I ever let you go?
[Bridge]
Accept this confession
(I’m walking on pins and needles!)
You’re not my possession
(I’m walking on pins and needles!)
My conscience is vicious
(I’m walking on pins and needles!)
And I’m begging forgiveness
(I’m walking on pins and needles!)

[Chorus]
I never walked so far on a lonely street
With no one there for me
It took too long to see her in misery
And now it’s clear to me
That it’s worth the pain
Always take the blame
For all your own insecurities
How did I ever let you go?7EmbedShare URLCopyEmbedCopy",metal
